"id","q1","q2","q6_h","q6_m","q7_h","q7_m","q8_1","q8_2","q8_3","q8_4","q8_5","q8_6","q8_88","q8_88_text","q8_90","q9_1","q9_2","q9_3","q9_4","q9_5","q9_6","q9_7","q9_8","q9_88","q9_88_text","q9_90","q10_1","q10_2","q10_3","q10_4","q10_5","q10_6","q10_7","q10_8","q10_9","q10_10","q10_88","q10_88_text","q10_90","q11_1","q11_2","q11_3","q11_4","q11_5","q11_6","q11_7","q11_8","q11_88","q11_88_text","q16","q17_01","q17_02","q18","q19_01","q19_02","q21a_6","q21a_6_text","q22_01_1","q22_02_1","q22_03_1","q22_04_1","q22_05_1","q23_01_1","q23_02_1","q23_03_1","q23_04_1","q23_05_1","q25_01_1","q25_02_1","q25_03_1","q25_04_1","q26_01_1","q26_02_1","q26_03_1","q27_1","q28_1","q28_2","q28_3","q28_4","q28_4_text","q28_5","q29_1","q29_2","q29_3","q29_4","q29_5","q29_5_text","q37a"
"1030252",2,54,1,0,4,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,2,3,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1040123",1,58,0,30,2,0,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,NA,1,NA,NA,"",NA,NA,1,NA,1,NA,"",5
"1040131",2,73,0,0,3,0,1,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,3,4,3,4,1,1,1,1,1,3,3,3,3,4,4,4,2,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1040139",1,86,5,0,5,0,1,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",1,1,1,1,2,1,1,"已讀",4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,5,1,1,1,NA,"",NA,1,1,NA,1,NA,"",5
"1040208",2,85,8,0,1,30,1,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,3,4,1,1,1,1,2,1,1,1,1,3,3,3,4,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"1040226",2,49,2,30,6,30,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,"",NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,"",NA,1,NA,NA,NA,1,NA,NA,1,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,2,3,2,2,1,2,2,1,1,2,2,2,2,2,3,3,3,1,1,NA,NA,"",NA,NA,1,1,NA,NA,"",5
"1050108",2,66,1,0,2,0,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,4,3,3,1,1,1,2,2,2,2,2,2,4,4,4,5,NA,1,NA,NA,"",NA,1,NA,NA,NA,NA,"",5
"1050208",1,72,5,5,4,4,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"",NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,"",NA,1,NA,NA,1,NA,NA,NA,1,NA,"",2,NA,NA,2,NA,NA,1,"已讀",2,3,3,2,4,1,2,2,1,3,3,2,3,3,4,4,4,3,1,1,NA,NA,"",NA,NA,1,NA,NA,NA,"",5
"1050223",1,57,8,30,4,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,3,3,1,1,2,2,2,2,2,2,3,3,3,3,4,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"1050230",1,69,8,0,2,0,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,1,1,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,4,3,4,1,1,1,1,2,1,1,1,1,3,3,3,1,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1050231",1,90,5,0,3,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,4,3,2,2,1,1,3,4,3,3,2,4,4,4,3,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1060105",2,64,1,0,9,15,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,"",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,"MeWe",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,3,3,3,3,2,2,1,1,2,3,3,3,3,4,3,3,5,1,1,NA,NA,"",NA,1,1,NA,1,NA,"",5
"1060209",1,50,1,10,1,0,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,4,1,1,NA,NA,"",NA,NA,NA,NA,1,NA,"",5
"1060220",2,79,8,0,4,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,4,4,1,1,1,1,1,1,1,1,1,4,4,4,4,NA,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"1060228",2,56,1,30,7,0,1,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,2,2,2,2,1,1,1,1,1,1,1,4,3,3,3,3,4,1,NA,NA,NA,"",NA,NA,NA,NA,1,NA,"",5
