"id","startdate","enddate","duration_in_seconds","q1","q2","q3","q3_other","q4","q4_88_text","q5_1","q6_h","q6_m","q7_h","q7_m","q8_1","q8_2","q8_3","q8_4","q8_5","q8_6","q8_88","q8_88_text","q8_90","q9_1","q9_2","q9_3","q9_4","q9_5","q9_6","q9_7","q9_8","q9_88","q9_88_text","q9_90","q10_1","q10_2","q10_3","q10_4","q10_5","q10_6","q10_7","q10_8","q10_9","q10_10","q10_88","q10_88_text","q10_90","q11_1","q11_2","q11_3","q11_4","q11_5","q11_6","q11_7","q11_8","q11_88","q11_88_text","q11_90","q12_1","q12_2","q12_3","q12_4","q12_5","q12_6","q12_7","q12_8","q12_8_text","q12_9","q13_01_1","q13_02_1","q13_02_2","q13_02_3","q13_02_4","q13_02_5","q13_02_6","q13_02_7","q13_02_8","q13_02_8_text","q13_02_9","q13_02_10","q13_03_1","q13_03_2","q13_03_3","q13_03_4","q13_03_5","q13_03_5_text","q13_03_6","q13_03_7","q13_04_1","q13_04_2","q13_04_3","q13_04_4","q13_04_5","q13_04_6","q13_04_7","q13_04_8","q13_04_8_text","q13_04_9","q13_04_10","q13_05_1","q13_05_2","q13_05_3","q13_05_4","q13_05_5","q13_05_5_text","q13_05_6","q13_05_7","q14_01_1","q14_01_2","q14_01_3","q14_01_4","q14_01_5","q14_01_5_text","q14_02_1","q14_02_2","q14_02_3","q14_02_4","q14_02_5","q14_02_5_text","q14_03_1","q14_03_2","q14_03_3","q14_03_4","q14_03_4_text","q15_01","q15_02_1","q15_02_2","q15_02_3","q15_02_4","q15_02_5","q15_02_6","q15_02_7","q15_02_8","q15_02_9","q15_02_10","q15_02_11","q15_02_12","q15_02_13","q15_02_13_text","q15_03_1","q16","q17_01","q17_02","q18","q19_01","q19_02","q20_01_1","q20_02_1","q21a_1","q21a_2","q21a_3","q21a_4","q21a_5","q21a_6","q21a_6_text","q22_01_1","q22_02_1","q22_03_1","q22_04_1","q22_05_1","q23_01_1","q23_02_1","q23_03_1","q23_04_1","q23_05_1","q24_01_1","q24_02_1","q24_03_1","q24_04_1","q24_05_1","q25_01_1","q25_02_1","q25_03_1","q25_04_1","q26_01_1","q26_02_1","q26_03_1","q27_1","q28_1","q28_2","q28_3","q28_4","q28_4_text","q28_5","q29_1","q29_2","q29_3","q29_4","q29_5","q29_5_text","q30_1","q31_1","q32_1","q33_1","q34_1","q35_1","q36_1","q37a","q38_01_1","q38_02_1","q39_1","q40_1","q41_1","q42_1","rq21a","rq37a","qrq2","rrq2","weight","r"
"1030252",2021-06-23 23:48:22,2021-06-24 00:13:26,1503,2,54,2,"",20,"",7,1,0,4,0,1,1,1,1,1,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,"",NA,3,1,1,1,NA,NA,1,1,1,"批評政府",NA,NA,1,1,NA,1,NA,"",NA,NA,1,NA,1,NA,NA,1,NA,NA,"",NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,"參加線上運動課程",2,2,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,"已讀",2,2,2,2,2,1,1,1,1,1,2,4,2,3,3,1,1,1,1,3,3,2,3,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,4,3,4,65,65,5,1,1,56,4,0.349005805929393,1
"1030607N",2021-07-02 17:35:01,2021-07-02 17:49:30,869,1,47,2,"",8,"",7,0,0,5,0,1,1,1,1,1,1,NA,"",NA,1,1,1,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,1,1,1,NA,NA,"",NA,3,1,1,1,NA,NA,1,NA,NA,"",NA,NA,1,1,NA,NA,NA,"",NA,NA,1,NA,1,1,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,1,1,NA,NA,"",1,1,1,NA,NA,"",1,NA,NA,NA,"",1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,"自修語言",3,2,NA,NA,2,NA,NA,1,1,NA,1,1,NA,1,NA,"",2,3,3,3,3,2,2,2,2,2,3,4,4,3,4,3,2,2,2,3,3,4,3,1,NA,NA,NA,"",NA,1,1,NA,1,NA,"",4,4,4,4,3,3,2,5,4,4,4,1,76,0,2,1,63,5,4.90942841626038,1
"1040123",2021-06-26 10:41:56,2021-06-29 17:20:32,283115,1,58,2,"",21,"",7,0,30,2,0,1,1,1,1,NA,1,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,"",5,2,NA,NA,2,NA,NA,3,3,1,1,1,1,1,1,"已讀",4,4,4,3,3,1,1,1,1,1,3,2,4,2,4,3,3,3,3,3,3,3,3,NA,1,NA,NA,"",NA,NA,1,NA,1,NA,"",3,3,3,3,1,1,2,5,3,4,3,0,90,0,1,1,52,4,0.450735467067655,1
"1040131",2021-07-19 10:15:01,2021-07-19 10:32:31,1050,2,73,3,"",20,"",7,0,0,3,0,1,NA,1,1,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,NA,1,NA,"",NA,2,1,1,1,NA,1,1,1,NA,"",NA,NA,NA,NA,NA,1,NA,"",NA,NA,1,NA,1,1,1,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,"",NA,NA,1,1,NA,"",NA,NA,NA,NA,"",1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,"",3,2,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,1,"已讀",4,3,4,3,4,1,1,1,1,1,3,2,1,2,2,3,3,3,3,4,4,4,2,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,4,3,3,50,35,5,1,1,37,2,0.225116967226188,1
"1040139",2021-06-27 10:30:00,2021-06-27 10:39:36,575,1,86,2,"",20,"",7,5,0,5,0,1,1,1,1,NA,1,NA,"",NA,1,1,NA,NA,NA,1,1,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,1,NA,1,1,NA,"",NA,3,1,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,"",NA,NA,1,1,1,1,1,1,1,NA,"",NA,NA,NA,1,1,NA,NA,"",NA,NA,1,1,1,1,NA,"",NA,NA,NA,NA,NA,"",1,1,NA,NA,"",1,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,"",4,1,1,1,1,2,1,4,4,1,1,1,NA,1,1,"已讀",4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,1,1,1,NA,"",NA,1,1,NA,1,NA,"",1,3,3,3,1,4,3,5,4,4,3,2,70,0,1,1,24,1,0.372255611575669,1
"1040208",2021-07-17 11:15:52,2021-07-17 11:28:00,727,2,85,2,"",19,"",7,8,0,1,30,1,1,1,1,NA,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,1,NA,NA,NA,"",NA,3,1,1,NA,NA,NA,1,NA,NA,"",NA,NA,1,1,NA,1,NA,"",NA,NA,1,NA,NA,1,NA,NA,1,NA,"",NA,NA,1,NA,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,1,NA,"",NA,NA,NA,NA,"",1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"",4,2,NA,NA,2,NA,NA,2,1,1,1,1,NA,1,1,"已讀",3,3,3,3,4,1,1,1,1,2,2,3,3,3,3,1,1,1,1,3,3,3,4,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",4,3,3,4,1,4,2,5,4,4,4,40,60,3,1,1,25,1,0.281217596477523,1
"1040226",2021-06-26 15:07:41,2021-06-26 15:24:21,999,2,49,2,"",10,"",7,2,30,6,30,1,1,1,1,1,NA,NA,"",NA,1,1,NA,NA,NA,NA,1,1,NA,"",NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,"",NA,1,NA,NA,NA,1,NA,NA,1,NA,"",NA,1,NA,1,1,1,NA,1,NA,"",NA,4,1,1,1,1,1,1,1,NA,"",NA,NA,1,1,1,NA,NA,"",NA,NA,1,1,1,1,NA,1,1,NA,"",NA,NA,NA,1,1,NA,NA,"",NA,NA,NA,1,1,1,NA,"",1,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,"",4,2,NA,NA,2,NA,NA,1,1,1,1,1,1,1,1,"已讀",3,2,3,2,2,1,2,2,1,1,3,4,3,3,3,2,2,2,2,2,3,3,3,1,1,NA,NA,"",NA,NA,1,1,NA,NA,"",4,3,4,3,3,4,3,5,4,4,4,40,71,3,1,1,61,5,0.871035352506441,1
"1050108",2021-07-02 19:58:03,2021-07-02 20:21:59,1436,2,66,2,"",19,"",7,1,0,2,0,1,1,1,1,1,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,"",NA,4,1,NA,NA,NA,NA,1,NA,NA,"",NA,NA,1,1,NA,1,NA,"",NA,NA,1,NA,1,1,1,NA,NA,NA,"",NA,NA,NA,NA,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,"",2,2,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,"已讀",3,3,4,3,3,1,1,1,2,2,4,4,3,3,4,2,2,2,2,4,4,4,5,NA,1,NA,NA,"",NA,1,NA,NA,NA,NA,"",4,2,3,3,1,3,2,5,4,3,4,50,10,5,1,1,44,3,0.316262124407712,1
"1050204",2021-06-24 12:33:07,2021-06-24 12:48:32,924,1,78,4,"",20,"",7,4,30,2,0,1,1,1,1,1,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,1,NA,NA,1,NA,"",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,"",NA,1,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,"",3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,4,4,3,3,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,5,3,3,3,30,0,5,2,1,32,2,0.303495795894777,1
"1050208",2021-07-02 17:00:07,2021-07-02 17:13:10,782,1,72,2,"",20,"",7,5,5,4,4,1,1,1,1,1,1,NA,"",NA,1,NA,NA,NA,NA,NA,NA,1,NA,"",NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,"",NA,1,NA,NA,1,NA,NA,NA,1,NA,"",NA,NA,NA,NA,1,1,NA,NA,NA,"",NA,2,1,1,1,NA,NA,1,1,1,"政治算計",NA,NA,1,1,NA,1,NA,"",NA,NA,1,1,1,1,NA,1,1,NA,"",NA,NA,NA,NA,1,NA,1,"對於愚民感到憤怒",NA,NA,1,1,NA,1,NA,"",1,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,NA,1,1,NA,NA,NA,1,NA,1,1,NA,1,NA,"",3,2,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,"已讀",2,3,3,2,4,1,2,2,1,3,3,3,1,3,3,3,2,3,3,4,4,4,3,1,1,NA,NA,"",NA,NA,1,NA,NA,NA,"",3,1,3,1,1,3,1,5,5,4,4,2,85,1,1,1,38,2,0.303495795894777,1
